Time,Action,Symbol,Qty,Price,PnL,Source,EntryGrade,LiveGrade,ExitGrade,BotGrade,TradeScore,GradeReason,HoldTime,PeakPrice,HardStopPrice,TrailingStopPrice,MaxDrawdownFromPeakPercent,PnLPercent,ExitReason
2026-06-30 10:58:42,BUY,SPY260630C00747000,1,0.36,,,,,,,,,,,,,,,
2026-06-30 12:28:05,SELL,SPY260630C00747000,1,0.63,28.000000000000004,HUMAN,,,A,A,90,Good profit; Holding because market context has not confirmed exit; EMA aligned bullish; Price above VWAP; Green ticks 62%; Broke previous day high,1:29:23,,,,,,
2026-06-30 13:04:56,BUY,SPY260630C00747000,1,0.86,,BOT,A+,,,A+,100,Market state BULLISH; Strong score separation; Market structure confirmation; EMA aligned bullish; MA aligned bullish; Price above VWAP; Broke previous day high; Broke previous week high; Broke opening range high,,,,,,,
2026-06-30 13:13:41,SELL,SPY260630C00747000,1,0.8,-5.999999999999995,BOT,,,C,C,71,Small loss; Trailing stop respected; Exit followed bot signal; Trailing stop hit; Drawdown 17.53%,0:08:45,,,,,,
2026-06-30 13:14:10,BUY,SPY260630C00747000,1,0.79,,BOT,A+,,,A+,100,Market state BULLISH; Market structure confirmation; EMA aligned bearish; MA aligned bearish; Price above VWAP; Broke previous day high; Broke previous week high; Broke opening range high,,,,,,,
2026-06-30 13:27:45,SELL,SPY260630C00747000,1,0.86,5.999999999999995,BOT,,,A+,A+,96,Small profit; Trailing stop respected; Exit followed bot signal; Trailing stop hit; Drawdown 15.00%,0:13:35,,,,,,
2026-06-30 13:28:57,BUY,SPY260630C00747000,1,0.81,,BOT,A+,,,A+,100,Market state BULLISH; Market structure confirmation; EMA aligned bearish; MA aligned bearish; Price above VWAP; Broke previous day high; Broke previous week high; Broke opening range high,,,,,,,
2026-06-30 13:42:08,SELL,SPY260630C00747000,1,0.72,-7.000000000000006,BOT,,,C,C,71,Small loss; Trailing stop respected; Exit followed bot signal; Trailing stop hit; Drawdown 15.48%,0:13:11,,,,,,
2026-06-30 14:58:23,BUY,SPY260630C00747000,1,0.73,,BOT,A+,,,A+,100,Market state BULLISH; Strong score separation; Opening direction confirmation; Market structure confirmation; EMA aligned bullish; MA aligned bullish; Price above VWAP; Green ticks 63%; Broke previous day high; Broke previous week high,,,,,,,
2026-06-30 15:09:49,SELL,SPY260630C00747000,1,0.8,7.000000000000006,BOT,,,A+,A+,96,Small profit; Trailing stop respected; Exit followed bot signal; Trailing stop hit; Drawdown 19.59%,0:11:26,,,,,,
2026-06-30 15:14:49,BUY,SPY260630C00747000,1,0.79,,BOT,A+,,,A+,100,Market state BULLISH; Market structure confirmation; EMA aligned bearish; MA aligned bearish; Price above VWAP; Broke previous day high; Broke previous week high; Broke opening range high,,,,,,,
2026-06-30 15:29:36,BUY,SPY260630C00748000,1,0.56,,BOT,A+,,,A+,100,Market state BULLISH; Strong score separation; Market structure confirmation; EMA aligned bullish; MA aligned bullish; Price above VWAP; Broke previous day high; Broke previous week high; Broke opening range high,,,,,,,
2026-06-30 15:34:31,SELL,SPY260630C00747000,1,1.1,31.000000000000007,BOT,,,A+,A+,100,Good profit; Trailing stop respected; Exit followed bot signal; Trailing stop hit; Drawdown 17.16%,0:19:42,,,,,,
2026-06-30 15:37:13,SELL,SPY260630C00748000,1,0.47,-9.999999999999998,BOT,,,F,F,56,Large loss; Trailing stop respected; Exit followed bot signal; Trailing stop hit; Drawdown 21.31%,0:07:37,,,,,,
2026-07-01 14:29:32,BUY,SPY260701P00747000,1,0.66,,BOT,A+,,,A+,100,Market state BEARISH; EMA aligned bearish; MA aligned bearish; Price below VWAP; Broke opening range low; Stagnant market penalty,,,,,,,
2026-07-01 14:34:15,SELL,SPY260701P00747000,1,0.72,6.999999999999995,BOT,,,A+,A+,100,Good profit; Trailing stop respected; Exit followed bot signal; Trailing stop hit; Drawdown 17.24%,0:04:43,,,,,,
2026-07-01 14:40:19,BUY,SPY260701C00747000,1,0.93,,BOT,A+,,,A+,100,Market state BULLISH; EMA aligned bullish; MA aligned bullish; Price above VWAP,,,,,,,
2026-07-01 14:43:13,SELL,SPY260701C00747000,1,0.77,-16.000000000000004,BOT,,,F,F,56,Large loss; Trailing stop respected; Exit followed bot signal; Trailing stop hit; Drawdown 18.28%,0:02:54,,,,,,
